"rank","Countdown","Spotify"
"1235","This Is A Call - Foo Fighters","This Is a Call - Foo Fighters"
"1236","Rock The Casbah - The Clash","Rock the Casbah - Remastered - The Clash"
"1237","I Could Have Lied - Red Hot Chili Peppers","I Could Have Lied - Red Hot Chili Peppers"
"1238","Wild Wild Life - Talking Heads","Wild Wild Life - 2005 Remastered Version - Talking Heads"
"1239","Let Me Down Easy - Gang Of Youths","Let Me Down Easy - Gang of Youths"
"1240","Still Of The Night - Whitesnake","Still of the Night - 2017 Remastered Version - Whitesnake"
"1241","Razor Wire Reality - I Am Giant","Razor Wire Reality - I Am Giant"
"1242","Feel Like Making Love - Bad Company"," - "
"1243","Privilege - Incubus","Privilege - Incubus"
"1244","One Will Hear The Other - Shihad","One Will Hear The Other - Shihad"
"1245","Life's Been Good - Joe Walsh","Life's Been Good - Joe Walsh"
"1246","Almost Honest - Megadeth","Almost Honest - Remastered 2004/Remixed - Megadeth"
"1247","Revolution - The Beatles","Revolution 1 (Live from Austin) - The Beatles Covered"
"1248","Shoot The Runner - Kasabian","Shoot the Runner - Kasabian"
"1249","Jesus I Was Evil - Darcy Clay"," - "
"1250","Lucy In The Sky With Diamonds - The Beatles","Lucy In The Sky With Diamonds - Remastered 2009 - The Beatles"
"1251","A Certain Shade Of Green - Incubus","A Certain Shade of Green - Incubus"
"1252","Barracuda - Heart","Barracuda - Heart"
"1253","Hard Sun - Eddie Vedder"," - "
"1254","Think Twice - Eve 6"," - "
"1255","Burning Down The House - Talking Heads","Burning Down The House - 2005 Remastered Version - Talking Heads"
"1256","Tell Me Baby - Red Hot Chili Peppers","Tell Me Baby - Red Hot Chili Peppers"
"1257","Cum On Feel The Noise - Quiet Riot"," - "
"1258","The Shooting Star - Gojira","The Shooting Star - Gojira"
"1259","Do You Feel Like We Do - Peter Frampton","Do You Feel Like We Do - Peter Frampton"
"1260","Every Day Is Exactly The Same - Nine Inch Nails","Every Day Is Exactly The Same - Nine Inch Nails"
"1261","Imagine - John Lennon","Imagine - Remastered 2010 - John Lennon"
"1262","Revelations - Audioslave","Revelations - Audioslave"
"1263","Ru Ana Te Whenua - Alien Weaponry","R? Ana Te Whenua - Alien Weaponry"
"1264","High And Dry - Radiohead","High And Dry - Radiohead"
"1265","I'm Eighteen - Alice Cooper","I'm Eighteen - Live At Cabo Wabo Cantina, Cabo San Lucas, Mexico/1996 - Alice Cooper"
"1266","Anthem For The Year 2000 - Silverchair","Anthem for the Year 2000 - Silverchair"
"1267","Devil Inside - INXS","Devil Inside - INXS"
"1268","Fly Away - Lenny Kravitz","Fly Away - Lenny Kravitz"
"1269","Yr Head Is A Rock - Shihad","Yr' Head Is A Rock - Remastered - Shihad"
"1270","I Fought The Law - The Clash"," - "
"1271","Just - Radiohead","Just - Radiohead"
"1272","Helter Skelter - The Beatles","Helter Skelter (Live from Austin) - The Beatles Covered"
"1273","Silvera - Gojira","Silvera - Gojira"
"1274","Night Moves - Bob Segar","Night Moves (In the Style of Bob Segar) [Karaoke Version] - Karaoke Spotlight"
"1275","Shake Your Blood - Probot"," - "
"1276","Mystify - INXS","Mystify - INXS"
"1277","Around The World - Kings Of Leon","Around The World - Kings of Leon"
"1278","Pride (In The Name Of Love) - U2","Pride (In The Name Of Love) - Remastered 2009 - U2"
"1279","Every Other Freckle - Alt-J","Every Other Freckle - alt-J"
"1280","Celebrity Skin - Hole","Celebrity Skin - Hole"
"1281","Sleep - City Of Souls"," - "
"1282","Road To Nowhere - Talking Heads","Road To Nowhere - 2005 Remastered Version - Talking Heads"
"1283","Big Energy In Little Spaces - Opshop","Big Energy in Little Spaces - Opshop"
"1284","Pushit - Tool"," - "
"1285","Youth Gone Wild - Skid Row","Youth Gone Wild - Skid Row"
"1286","Oh Lord - In This Moment","Oh Lord - In This Moment"
"1287","I Alone - Live","I Alone - Live"
"1288","Livin' On The Edge - Aerosmith","Livin' On The Edge - Aerosmith"
"1289","Fortune Faded - Red Hot Chili Peppers","Fortune Faded - Red Hot Chili Peppers"
"1290","Young Years - Dragon","Young Years - Dragon"
"1291","American Lies - Pennywise","American Lies - Pennywise"
"1292","Tie Your Mother Down - Queen","Tie Your Mother Down - Remastered 2011 - Queen"
"1293","Alive - Shihad","Alive - Shihad"
"1294","You Ain't Seen Nothing Yet - Bachman Turner Overdrive","You Ain't Seen Nothing Yet - Bachman-Turner Overdrive"
"1295","Crown Of Thorns - Mother Love Bone","Crown Of Thorns - Mother Love Bone"
"1296","Bleed American - Jimmy Eat World","The Middle - Jimmy Eat World"
"1297","Wild Flower - The Cult","Wild Flower - The Cult"
"1298","Blacken My Thumb - The Datsuns","Blacken My Thumb - The Datsuns"
"1299","Danger Zone - Kenny Loggins","Danger Zone - Kenny Loggins"
"1300","Buck It Up - Goodshirt","Buck It Up - Goodshirt"
"1301","Time Is Running Out - Muse","Time Is Running Out - Muse"
"1302","Dude (Looks Like A Lady) - Aerosmith","Dude (Looks Like A Lady) - Aerosmith"
"1303","Human - Rag N Bone Man","Human - Rag'n'Bone Man"
"1304","Supersonic - Oasis","Supersonic - Remastered - Oasis"
"1305","Ava Adore - Smashing Pumpkins","Ava Adore - The Smashing Pumpkins"
"1306","Club Foot - Kasabian","Club Foot - Kasabian"
"1307","I See Red - Split Enz","I See Red - Split Enz"
"1308","Venus - The Feelers","Venus - 2015 Remastered Version - the feelers"
"1309","Smooth - Santana & Rob Thomas"," - "
"1310","Gotta Get Away - The Offspring","Gotta Get Away - The Offspring"
"1311","I Wanna Rock - Twisted Sister","I Wanna Rock - Twisted Sister"
"1312","Dance Stamina - Pluto"," - "
"1313","Dreamer - Ozzy Osbourne","Dreamer - Ozzy Osbourne"
"1314","The Bad Touch - Bloodhound Gang","The Bad Touch - Bloodhound Gang"
"1315","Straight Lines - Silverchair","Straight Lines - Silverchair"
"1316","Fame - David Bowie","Fame - 2016 Remastered Version - David Bowie"
"1317","Pretty Fly - The Offspring","Pretty Fly (For A White Guy) - The Offspring"
"1318","Smokin' In The Boys Room - Motley Crue"," - "
"1319","White Trash - Steriogram","White Trash - Steriogram"
"1320","Power and the Passion - Midnight Oil"," - "
"1321","Meadow - Stone Temple Pilots","Meadow - Stone Temple Pilots"
"1322","Somebody Told Me - The Killers","Somebody Told Me - The Killers"
"1323","Digging The Grave - Faith No More","Digging The Grave - Faith No More"
"1324","Once In A Lifetime - Talking Heads","Once In A Lifetime - 2005 Remastered Version - Talking Heads"
"1325","Worth Fighting For - Blacklistt","Worth Fighting For - Blacklistt"
"1326","No Secrets - The Angels","No Secrets - The Angels"
"1327","Dear Rosemary - Foo Fighters","Dear Rosemary - Foo Fighters"
"1328","Pinball Wizard - The Who","Pinball Wizard - Woodstock Live Version - The Who"
"1329","Rolling With The Punches - The Blue Stones"," - "
"1330","Life In The Fast Lane - Eagles","Life In The Fast Lane - Remastered - Eagles"
"1331","Jolene - The White Stripes"," - "
"1332","The Fixer - Pearl Jam","The Fixer - Pearl Jam"
"1333","Show Yourself - Mastodon","Show Yourself - Mastodon"
"1334","Sex And Candy - Marcy Playground","Sex & Candy - Marcy Playground"
"1335","Wet Rubber - Head Like A Hole"," - "
"1336","Piece Of My Heart - Janice Joplin"," - "
"1337","Fortress - Queens Of The Stone Age","Fortress - Queens of the Stone Age"
"1338","Welcome Home - Dave Dobbyn","Welcome Home - Dave Dobbyn"
"1339","I Don't Wanna Be Here - Rise Against"," - "
"1340","Girls Got Rhythm - AC/DC","Girls Got Rhythm - AC/DC"
"1341","Diamond Eyes - Deftones","Diamond Eyes - Deftones"
"1342","Stop Draggin' My Heart Around - Steve Nicks/Tom Petty"," - "
"1343","Foxtrot Uniform Charlie Kilo - Bloodhound Gang","Foxtrot Uniform Charlie Kilo - Bloodhound Gang"
"1344","Miss You - The Rolling Stones","Miss You - Remastered - The Rolling Stones"
"1345","What You Want - Evanescence","What You Want - Evanescence"
"1346","The Hardest Button To Button - The White Stripes","The Hardest Button To Button - The White Stripes"
"1347","China Girl - David Bowie","China Girl - 1999 Remastered Version - David Bowie"
"1348","All That Glitters - Bleeders","All That Glitters - The Bleeders"
"1349","Muzzle - Smashing Pumpkins","Muzzle - Remastered 2012 - The Smashing Pumpkins"
"1350","Heatseeker - AC/DC","Heatseeker - AC/DC"
"1351","The Rock Show - Blink 182","The Rock Show - blink-182"
"1352","Mmm Mmm Mmm - Crash Test Dumies"," - "
"1353","My God Is The Sun - Queens Of The Stone Age","My God Is The Sun - Queens of the Stone Age"
"1354","Worldwide Suicide - Pearl Jam","Worldwide Suicide (Made Famous by Pearl Jam) - The Rock Heroes"
"1355","Love Rollercoaster - Red Hot Chili Peppers"," - "
"1356","Diamonds On The Inside - Ben Harper","Diamonds On The Inside - Ben Harper"
"1357","Green River - Creedence Clearwater Revival","Bad Moon Rising - Creedence Clearwater Revival"
"1358","King Of The Rodeo - Kings Of Leon"," - "
"1359","Anchor Me - Muttonbirds"," - "
"1360","Help Is On The Way - Rise Against","Help Is On The Way - Rise Against"
"1361","Orange Crush - R.E.M.","Orange Crush - Remastered - R.E.M."
"1362","The Truth - Decades","The Truth - Decades"
"1363","Who Loves Who The Most - Exponents","Who Loves Who The Most - The Exponents"
"1364","What's The Story Morning Glory? - Oasis","Wonderwall - Remastered - Oasis"
"1365","Crazy - Aerosmith","Crazy - Aerosmith"
"1366","Always - Blacklistt","Always - Blacklistt"
"1367","Golden Years - David Bowie","Golden Years - 2016 Remastered Version - David Bowie"
"1368","Plastic Hamburgers - Fantastic Negrito","Plastic Hamburgers - Fantastic Negrito"
"1369","Don't Stop - Fleetwood Mac","Don't Stop - Remastered - Fleetwood Mac"
"1370","Alive - P.O.D.","Alive - Chris Lord-Alge Mix - P.O.D."
"1371","Never Enough - Stone Temple Pilots","Never Enough - Stone Temple Pilots"
"1372","Charmer - Kings Of Leon","Charmer - Kings of Leon"
"1373","I Just Want You - Ozzy Osbourne","I Just Want You - Ozzy Osbourne"
"1374","Fast Forward - You Me At Six","Fast Forward - You Me At Six"
"1375","George - Headless Chickens","George - Headless Chickens"
"1376","Starlight - Muse","Starlight - Muse"
"1377","Light My Fire - The Doors","Light My Fire - The Doors"
"1378","Last Nite - The Strokes","Last Nite - The Strokes"
"1379","Roll Me Under - Stone Temple Pilots","Roll Me Under - Stone Temple Pilots"
"1380","Penny Royal Tea - Nirvana"," - "
"1381","Radar Love - Golden Earring","Radar Love - Golden Earring"
"1382","High Flying - Dead Favours"," - "
"1383","Runaway Train - Soul Asylum","Runaway Train - Soul Asylum"
"1384","Minerva - Deftones","Minerva - Deftones"
"1385","Trippin' - Push Push","Trippin - Push Push"
"1386","Wishlist - Pearl Jam","Wishlist - Pearl Jam"
"1387","The Joker - Steve Miller Band","The Joker - Steve Miller Band"
"1388","Never Gonna Die - Pennywise","Never Gonna Die - Pennywise"
"1389","In The Meantime - Spacehog","In The Meantime - Spacehog"
"1390","Exit To The City - The D4","Exit To The City - The D4"
"1391","My Hometown - Bruce Springsteen","My Hometown - Bruce Springsteen"
"1392","Stay - Blindspott"," - "
"1393","Good Times Bad Times - Led Zeppelin","Good Times Bad Times - Led Zeppelin"
"1394","Re-Wired - Kasabian","Re-Wired - Kasabian"
"1395","I Still Haven't Found What I'm Looking For - U2","I Still Haven't Found What I'm Looking For - U2"
"1396","Superbeast - Rob Zombie","Superbeast - Rob Zombie"
"1397","Man On The Moon - R.E.M.","Man On The Moon - R.E.M."
"1398","Kings And Queens - 30 Seconds to Mars","Kings And Queens - Thirty Seconds To Mars"
"1399","Running With The Devil - Van Halen","Running With The Devil (Sigue Sigue Sputnik) - Stephen Pearcy (Ratt)/ Bob Kulick"
"1400","Pistola - Incubus","Pistola - Incubus"
"1401","Want You Bad - The Offspring","Want You Bad - The Offspring"
"1402","Sweet Soul Sister - The Cult","Sweet Soul Sister - The Cult"
"1403","Dangerous - Big Data"," - "
"1404","Taking Care Of Business - Bachman Turner Overdrive"," - "
"1405","Renegade - Daughtry","Renegade - Daughtry"
"1406","Houses Of The Holy - Led Zeppelin","Houses Of The Holy - Led Zeppelin"
"1407","Up All Night - Beck","Up All Night - Beck"
"1408","Cigarettes And Alcohol - Oasis","Cigarettes & Alcohol - Remastered - Oasis"
"1409","Walking In Light - Th' Dudes","Walking in Light - Th' Dudes"
"1410","Brother - Pearl Jam"," - "
"1411","Welcome To My Nightmare - Alice Cooper","Only Women Bleed - Alice Cooper"
"1412","White Limo - Foo Fighters","White Limo - Foo Fighters"
"1413","Elegantly Wasted - INXS"," - "
"1414","Wake Up - Mad Season","Wake Up - Mad Season"
"1415","Hurts So Good - John Mellencamp","Hurts So Good - John Mellencamp"
"1416","White Lines - Six60","White Lines - Six60"
"1417","Geek Stink Breath - Green Day"," - "
"1418","The Drugs Don't Work - The Verve","The Drugs Don't Work - The Verve"
"1419","Get Back - The Beatles","Get Back - Remastered 2009 - The Beatles"
"1420","From Out Of Nowhere - Faith No More","From Out Of Nowhere - Faith No More"
"1421","Let Me Go - 3 Doors Down","Let Me Go - Rock Version - 3 Doors Down"
"1422","Immortality - Pearl Jam","Immortality - Remastered - Pearl Jam"
"1423","Changes - David Bowie","Changes - 2015 Remastered Version - David Bowie"
"1424","Are You Ready - Disturbed"," - "
"1425","Desire - U2","Desire - U2"
"1426","Violet Hill - Coldplay","Violet Hill - Coldplay"
"1427","Woman - Wolfmother","Woman - Wolfmother"
"1428","History Never Repeats - Split Enz"," - "
"1429","Hootenanny - Head Like A Hole","Hootenanny - Head Like A Hole"
"1430","What's Up? - 4 Non Blondes","What's Up? - 4 Non Blondes"
"1431","Set It Off - Audioslave","Set It Off - Audioslave"
"1432","Can't Stop This Thing We Started - Bryan Adams","Can't Stop This Thing We Started - Bryan Adams"
"1433","Everything - Shihad","EVERYTHING - Pacifier / Shihad"
"1434","Something So Strong - Crowded House","Something So Strong - Crowded House"
"1435","Maybe - Sick Puppies","Maybe - Sick Puppies"
"1436","Run To You - Bryan Adams","Run To You - Bryan Adams"
"1437","Minority - Green Day","Minority - Green Day"
"1438","Only Women Bleed - Alice Cooper","Only Women Bleed - Alice Cooper"
"1439","Nothing Can Wait - Opshop","Nothing Can Wait - Opshop"
"1440","Society - Pennywise","Society - Pennywise"
"1441","Left Hand Free - Alt-J","Left Hand Free (Extended Version) - alt-J"
"1442","Brown Sugar - The Rolling Stones","Brown Sugar - The Rolling Stones"
"1443","Hit That - The Offspring","Hit That - The Offspring"
"1444","New Sensation - INXS","New Sensation - INXS"
"1445","Take Back The City - Snow Patrol","Take Back The City - Snow Patrol"
"1446","Blue Orchid - The White Stripes","Blue Orchid - The White Stripes"
"1447","Love Will Tear Us Apart - Joy Division"," - "
"1448","This Ain't A Scene - Fall Out Boy","This Ain't A Scene, It's An Arms Race - Fall Out Boy"
"1449","Letter To Alan - Cold Chisel","Letter To Alan - Cold Chisel"
"1450","Forever - Papa Roach","Forever - Papa Roach"
"1451","Original Sin - INXS","Original Sin - INXS"
"1452","Tired From Sleeping - The Checks","Tired From Sleeping - The Checks"
"1453","Keep Talking - Pink Floyd","Keep Talking - Pink Floyd"
"1454","Hooker With A Penis - Tool"," - "
"1455","Read My Mind - The Killers","Read My Mind - The Killers"
"1456","Say You'll Haunt Me - Stone Sour","Say You'll Haunt Me - Stone Sour"
"1457","Suffragette City - David Bowie","Suffragette City - 2012 Remastered Version - David Bowie"
"1458","My Wave - Soundgarden","My Wave - Soundgarden"
"1459","Smile Like You Mean It - The Killers","Smile Like You Mean It - The Killers"
"1460","The Battle Of Evermore - Led Zeppelin","The Battle Of Evermore - Led Zeppelin"
"1461","They Say - Scars On Broadway","They Say - Daron Malakian and Scars On Broadway"
"1462","Yesterdays - Guns N' Roses","Yesterdays - Guns N' Roses"
"1463","Young Americans - David Bowie","Young Americans - 2016 Remastered Version - David Bowie"
"1464","Holy Moly - Motocade"," - "
"1465","Clocks - Coldplay","Clocks - Coldplay"
"1466","Tweeter and The Monkey Man - Traveling Wilburys","Tweeter And The Monkey Man - Traveling Wilburys"
"1467","Burn - Blacklistt","Burn - Blacklistt"
"1468","You Don't Know How It Feels - Tom Petty","You Don't Know How It Feels - Tom Petty"
"1469","Scumbag Blues - Them Crooked Vultures","Scumbag Blues - Them Crooked Vultures"
"1470","Do It Again - Steely Dan","Do It Again - Steely Dan"
"1471","Walk This Way - Aerosmith","Walk This Way - Aerosmith"
"1472","Prisoner Of Society - The Living End","Prisoner of Society - The Living End"
"1473","Bullitproof - Shihad","Bullitproof - Single Mix - Pacifier / Shihad"
"1474","Dreams - Fleetwood Mac","Dreams - 2004 Remastered Edition - Fleetwood Mac"
"1475","Blue Monday - New Order"," - "
"1476","No Way Back - Foo Fighters","No Way Back - Foo Fighters"
"1477","The Song Remains The Same - Led Zeppelin","The Song Remains The Same - Led Zeppelin"
"1478","Round Here - Counting Crows","Round Here - Counting Crows"
"1479","Original Fire - Audioslave","Original Fire - Audioslave"
"1480","December - Collective Soul","December (45 Version) - Collective Soul"
"1481","10000 Horses - Candlebox"," - "
"1482","Running - Evermore","Running - Evermore"
"1483","Gimme All Your Lovin - ZZ Top","Gimme All Your Lovin' - ZZ Top"
"1484","You Know My Name - Chris Cornell","You Know My Name - From ""Casino Royale"" Soundtrack - Chris Cornell"
"1485","Perry Mason - Ozzy Osbourne","Perry Mason - Ozzy Osbourne"
"1486","Saturday Night's Alright For Fighting - Elton John","Saturday Night?s Alright (For Fighting) - Remastered - Elton John"
"1487","Wax Simulacra - The Mars Volta","Wax Simulacra - The Mars Volta"
"1488","Whaling - Dave Dobbyn","Whaling - 2009 version - Dave Dobbyn"
"1489","Take Me Out - Franz Ferdinand","Take Me Out - Franz Ferdinand"
"1490","Dominion Road - Muttonbirds"," - "
"1491","Spin The Black Circle - Pearl Jam","Spin the Black Circle - Remastered - Pearl Jam"
"1492","Can I Sit Next To You Girl - AC/DC"," - "
"1493","The Armour You Own - Dead Letter Circus","The Armour You Own - Dead Letter Circus"
"1494","Are You Gonna Go My Way? - Lenny Kravitz","Are You Gonna Go My Way - Lenny Kravitz"
"1495","Lakini's Juice - Live","Lakini's Juice - Live"
"1496","In My Time Of Dying - Led Zeppelin","In My Time Of Dying - Led Zeppelin"
"1497","Transmission - I Am Giant"," - "
"1498","Industrial Disease - Dire Straits","Industrial Disease - Dire Straits"
"1499","Save The Day - The Living End","Save the Day - The Living End"
"1500","Molly's Chambers - Kings Of Leon","Molly's Chambers - Kings of Leon"
